Unique_ID,Length,Title,URL
1,1:10,"What s New with AWS   Week of June 25, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
2,1:36,"What s New with AWS   Week of June 18, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
3,1:41,"What s New with AWS   Week of June 11, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
4,1:19,"What s New with AWS   Week of June 4, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
5,1:23,"What s New with AWS   Week of May 21, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
6,1:31,"What s New with AWS   Week of May 14, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
7,1:33,"What s New with AWS   Week of May 07, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
8,1:11,"What s New with AWS   Week of April 30, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
9,1:28,"What s New with AWS   Week of April 23, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
10,1:21,"What s New with AWS   Week of April 9, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
11,1:54,"What s New with AWS   Week of April 2, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
12,1:40,"What s New with AWS   Week of March 26, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
13,1:56,"What s New with AWS   Week of March 19, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
14,0:48,"What s New with AWS   Week of March 5, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
15,1:02,"What s New with AWS   Week of February 19, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
16,1:27,"What s New with AWS   Week of February 12, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
17,1:02,"What s New with AWS   Week of February 5, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
18,1:12,"What s New with AWS   Week of January 22, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
19,1:16,"What s New with AWS   Week of January 15, 2018",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
20,1:33,"What s New with AWS   Week of December 11, 2017",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
21,1:37,"What s New with AWS   Week of November 20, 2017",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
22,1:35,"What s New with AWS   Week of November 6, 2017",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
23,1:28,"What s New with AWS   Week of October 30, 2017",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
24,1:24,"What s New with AWS   Week of October 23, 2017",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
25,1:34,"What's New with AWS - Week of October 16, 2017",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
26,1:28,"What's New with AWS - Week of October 9, 2017",https://www.youtube.com/playlist?list=PLhr1KZpdzukfsuHJK5mv40wVsMMhgOZ-Q
